date,net_asset_value
2023-07-06,20082175.00
2023-07-07,19915120.00
2023-07-10,20055343.00
2023-07-11,20172733.00
2023-07-12,20172733.00
2023-07-13,20172733.00
2023-07-14,20172733.00
2023-07-17,19882555.00
2023-07-18,19792213.00
2023-07-19,19794733.00
2023-07-20,19807333.00
2023-07-21,20403313.00
2023-07-24,20401423.00
2023-07-25,21124663.00
2023-07-26,21124663.00
2023-07-27,21244111.00
2023-07-28,21987133.00
2023-07-31,21780241.00
2023-08-01,21886333.00
2023-08-02,21772933.00
2023-08-03,21753655.00
2023-08-04,21942655.00
2023-08-07,21872851.00
2023-08-08,21898933.00
2023-08-09,21902461.00
2023-08-10,21709933.00
2023-08-11,21193333.00
2023-08-14,20802733.00
2023-08-15,20928481.00
2023-08-16,21016933.00
2023-08-17,21016933.00
2023-08-18,21016933.00
2023-08-21,21016933.00
2023-08-22,21016933.00
2023-08-23,21016933.00
2023-08-24,21016933.00
2023-08-25,21016933.00
2023-08-28,21016933.00
2023-08-29,21016933.00
2023-08-30,21016933.00
2023-08-31,21016933.00
2023-09-01,21067153.00
2023-09-04,21252533.00
2023-09-05,21162013.00
2023-09-06,21190533.00
2023-09-07,20905333.00
2023-09-08,20663533.00
2023-09-11,20709041.00
2023-09-12,20681637.00
2023-09-13,20681017.00
2023-09-14,20681017.00
2023-09-15,20681017.00
2023-09-18,20681017.00
2023-09-19,20681017.00
2023-09-20,20681017.00
2023-09-21,20681017.00
2023-09-22,20681017.00
2023-09-25,20681017.00
2023-09-26,20681017.00
2023-09-27,20681017.00
2023-09-28,20681017.00
2023-10-09,20681017.00
2023-10-10,20681017.00
2023-10-11,20681017.00
2023-10-12,20681017.00
2023-10-13,20681017.00
2023-10-16,20681017.00
2023-10-17,20681017.00
2023-10-18,20681017.00
2023-10-19,20681017.00
2023-10-20,20681017.00
2023-10-23,20681017.00
2023-10-24,20681017.00
2023-10-25,20681017.00
2023-10-26,20681017.00
2023-10-27,20681017.00
2023-10-30,20681017.00
2023-10-31,20681017.00
2023-11-01,20681017.00
2023-11-02,20681017.00
2023-11-03,21084115.00
2023-11-06,21093767.00
2023-11-07,20829226.00
2023-11-08,20920285.00
2023-11-09,20866564.00
2023-11-10,20634535.00
2023-11-13,20484167.00
2023-11-14,20500296.00
2023-11-15,20597578.00
2023-11-16,20434002.00
2023-11-17,20349801.00
2023-11-20,20465117.00
2023-11-21,20814367.00
2023-11-22,20706544.00
2023-11-23,20763567.00
2023-11-24,20649267.00
2023-11-27,20471467.00
2023-11-28,20548175.00
2023-11-29,20548175.00
2023-11-30,20548175.00
2023-12-01,20548175.00
2023-12-04,20548175.00
2023-12-05,20548175.00
2023-12-06,20548175.00
2023-12-07,20548175.00
2023-12-08,20548175.00
2023-12-11,20548175.00
2023-12-12,20548175.00
2023-12-13,20548175.00
2023-12-14,20548175.00
2023-12-15,20548175.00
2023-12-18,20548175.00
2023-12-19,20548175.00
2023-12-20,20548175.00
2023-12-21,20548175.00
2023-12-22,20548175.00
2023-12-25,20548175.00
2023-12-26,20548175.00
2023-12-27,20548175.00
2023-12-28,20548175.00
2023-12-29,20561204.00
2024-01-02,20032433.00
2024-01-03,20148404.00
2024-01-04,19825904.00
2024-01-05,19753148.00
2024-01-08,19503275.00
2024-01-09,19464704.00
2024-01-10,19464704.00
2024-01-11,19464704.00
2024-01-12,19464704.00
2024-01-15,19464704.00
2024-01-16,19464704.00
2024-01-17,19464704.00
2024-01-18,19464704.00
2024-01-19,19464704.00
2024-01-22,19464704.00
2024-01-23,19464704.00
2024-01-24,19464704.00
2024-01-25,19464704.00
2024-01-26,19464704.00
2024-01-29,19464704.00
2024-01-30,19464704.00
2024-01-31,19464704.00
2024-02-01,19464704.00
2024-02-02,19464704.00
2024-02-05,19464704.00
2024-02-06,19464704.00
2024-02-07,19464704.00
2024-02-08,19403327.00
2024-02-19,19273316.00
2024-02-20,18960527.00
2024-02-21,19546745.00
2024-02-22,19555601.00
2024-02-23,19502834.00
2024-02-26,19267781.00
2024-02-27,19200377.00
2024-02-28,19102592.00
2024-02-29,19268027.00
2024-03-01,19145765.00
2024-03-04,19038017.00
2024-03-05,19269257.00
2024-03-06,19090292.00
2024-03-07,19128176.00
2024-03-08,18978116.00
2024-03-11,18978116.00
2024-03-12,18978116.00
2024-03-13,18978116.00
2024-03-14,18849358.00
2024-03-15,18859592.00
2024-03-18,18749755.00
2024-03-19,18746899.00
2024-03-20,18765701.00
2024-03-21,18758561.00
2024-03-22,18667526.00
2024-03-25,18520680.00
2024-03-26,18762012.00
2024-03-27,18663361.00
2024-03-28,18670977.00
2024-03-29,18670977.00
2024-04-01,18670977.00
2024-04-02,18585099.00
2024-04-03,18598203.00
2024-04-08,18031338.00
2024-04-09,18031338.00
2024-04-10,18031338.00
2024-04-11,18031338.00
2024-04-12,18031338.00
2024-04-15,18031338.00
2024-04-16,18031338.00
2024-04-17,18031338.00
2024-04-18,18031338.00
2024-04-19,18031338.00
2024-04-22,18031338.00
2024-04-23,18031338.00
2024-04-24,18031338.00
2024-04-25,18031338.00
2024-04-26,18219823.00
2024-04-29,18157378.00
2024-04-30,18168878.00
2024-05-06,18803678.00
2024-05-07,18916378.00
2024-05-08,18847033.00
2024-05-09,18755378.00
2024-05-10,18559648.00
2024-05-13,18180378.00
2024-05-14,18134148.00
2024-05-15,18111378.00
2024-05-16,18163128.00
2024-05-17,18283878.00
2024-05-20,18283878.00
2024-05-21,18283878.00
2024-05-22,18283878.00
2024-05-23,18283878.00
2024-05-24,18283878.00
2024-05-27,18283878.00
2024-05-28,18283878.00
2024-05-29,18283878.00
2024-05-30,18283878.00
2024-05-31,18283878.00
2024-06-03,18283878.00
2024-06-04,18283878.00
2024-06-05,18283878.00
2024-06-06,18283878.00
2024-06-07,18283878.00
